token,icd_code
1,Padding
2,No event
3,Female
4,Male
5,BMI_low
6,BMI_mid
7,BMI_high
8,Smoking_low
9,Smoking_mid
10,Smoking_high
11,Alcohol_low
12,Alcohol_mid
13,Alcohol_high
14,A00 (cholera)
15,A01 (typhoid and paratyphoid fevers)
16,A02 (other salmonella infections)
17,A03 (shigellosis)
18,A04 (other bacterial intestinal infections)
19,A05 (other bacterial foodborne intoxications)
20,A06 (amoebiasis)
21,A07 (other protozoal intestinal diseases)
22,A08 (viral and other specified intestinal infections)
23,A09 (diarrhoea and gastro-enteritis of presumed infectious origin)
24,A17 (tuberculosis of nervous system)
25,A18 (tuberculosis of other organs)
26,A19 (miliary tuberculosis)
27,A20 (plague)
28,A22 (anthrax)
29,A23 (brucellosis)
30,A24 (glanders and melioidosis)
31,A25 (rat-bite fevers)
32,A26 (erysipeloid)
33,A27 (leptospirosis)
34,A30 (leprosy [hansen's disease])
35,A31 (infection due to other mycobacteria)
36,A32 (listeriosis)
37,A33 (tetanus neonatorum)
38,A35 (other tetanus)
39,A36 (diphtheria)
40,A37 (whooping cough)
41,A38 (scarlet fever)
42,A39 (meningococcal infection)
43,A40 (streptococcal septicaemia)
44,A41 (other septicaemia)
45,A42 (actinomycosis)
46,A43 (nocardiosis)
47,A44 (bartonellosis)
48,A46 (erysipelas)
49,A49 (bacterial infection of unspecified site)
50,A50 (congenital syphilis)
51,A51 (early syphilis)
52,A52 (late syphilis)
53,A53 (other and unspecified syphilis)
54,A54 (gonococcal infection)
55,A55 (chlamydial lymphogranuloma (venereum))
56,A56 (other sexually transmitted chlamydial diseases)
57,A58 (granuloma inguinale)
58,A59 (trichomoniasis)
59,A60 (anogenital herpesviral [herpes simplex] infections)
60,A64 (unspecified sexually transmitted disease)
61,A66 (yaws)
62,A67 (pinta [carate])
63,A68 (relapsing fevers)
64,A69 (other spirochaetal infections)
65,A70 (chlamydia psittaci infection)
66,A71 (trachoma)
67,A74 (other diseases caused by chlamydiae)
68,A75 (typhus fever)
69,A77 (spotted fever [tick-borne rickettsioses])
70,A78 (q fever)
71,A79 (other rickettsioses)
72,A80 (acute poliomyelitis)
73,A81 (atypical virus infections of central nervous system)
74,A82 (rabies)
75,A83 (mosquito-borne viral encephalitis)
76,A84 (tick-borne viral encephalitis)
77,A86 (unspecified viral encephalitis)
78,A87 (viral meningitis)
79,A89 (unspecified viral infection of central nervous system)
80,A90 (dengue fever [classical dengue])
81,A91 (dengue haemorrhagic fever)
82,A92 (other mosquito-borne viral fevers)
83,A94 (unspecified arthropod-borne viral fever)
84,A95 (yellow fever)
85,A97 (dengue)
86,B00 (herpesviral [herpes simplex] infections)
87,B01 (varicella [chickenpox])
88,B02 (zoster [herpes zoster])
89,B03 (smallpox)
90,B05 (measles)
91,B06 (rubella [german measles])
92,B07 (viral warts)
93,B09 (unspecified viral infection characterised by skin and mucous membrane lesions)
94,B15 (acute hepatitis a)
95,B16 (acute hepatitis b)
96,B17 (other acute viral hepatitis)
97,B18 (chronic viral hepatitis)
98,B19 (unspecified viral hepatitis)
99,B20 (human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases)
100,B21 (human immunodeficiency virus [hiv] disease resulting in malignant neoplasms)
101,B22 (human immunodeficiency virus [hiv] disease resulting in other specified diseases)
102,B23 (human immunodeficiency virus [hiv] disease resulting in other conditions)
103,B24 (unspecified human immunodeficiency virus [hiv] disease)
104,B25 (cytomegaloviral disease)
105,B26 (mumps)
106,B27 (infectious mononucleosis)
107,B30 (viral conjunctivitis)
108,B34 (viral infection of unspecified site)
109,B35 (dermatophytosis)
110,B36 (other superficial mycoses)
111,B37 (candidiasis)
112,B38 (coccidioidomycosis)
113,B39 (histoplasmosis)
114,B40 (blastomycosis)
115,B42 (sporotrichosis)
116,B43 (chromomycosis and phaeomycotic abscess)
117,B44 (aspergillosis)
118,B45 (cryptococcosis)
119,B46 (zygomycosis)
120,B47 (mycetoma)
121,B49 (unspecified mycosis)
122,B50 (plasmodium falciparum malaria)
123,B51 (plasmodium vivax malaria)
124,B52 (plasmodium malariae malaria)
125,B53 (other parasitologically confirmed malaria)
126,B54 (unspecified malaria)
127,B55 (leishmaniasis)
128,B57 (chagas' disease)
129,B58 (toxoplasmosis)
130,B59 (pneumocystosis)
131,B65 (schistosomiasis [bilharziasis])
132,B66 (other fluke infections)
133,B67 (echinococcosis)
134,B68 (taeniasis)
135,B69 (cysticercosis)
136,B71 (other cestode infections)
137,B73 (onchocerciasis)
138,B74 (filariasis)
139,B75 (trichinellosis)
140,B76 (hookworm diseases)
141,B77 (ascariasis)
142,B78 (strongyloidiasis)
143,B79 (trichuriasis)
144,B80 (enterobiasis)
145,B82 (unspecified intestinal parasitism)
146,B83 (other helminthiases)
147,B85 (pediculosis and phthiriasis)
148,B86 (scabies)
149,B87 (myiasis)
150,B88 (other infestations)
151,B89 (unspecified parasitic disease)
152,B90 (sequelae of tuberculosis)
153,B91 (sequelae of poliomyelitis)
154,B94 (sequelae of other and unspecified infectious and parasitic diseases)
155,B95 (streptococcus and staphylococcus as the cause of diseases classified to other chapters)
156,B96 (other bacterial agents as the cause of diseases classified to other chapters)
157,B97 (viral agents as the cause of diseases classified to other chapters)
158,B98 (other specified infectious agents as the cause of diseases classified to other chapters)
159,B99 (other and unspecified infectious diseases)
160,D50 (iron deficiency anaemia)
161,D51 (vitamin b12 deficiency anaemia)
162,D52 (folate deficiency anaemia)
163,D53 (other nutritional anaemias)
164,D55 (anaemia due to enzyme disorders)
165,D56 (thalassaemia)
166,D57 (sickle-cell disorders)
167,D58 (other hereditary haemolytic anaemias)
168,D59 (acquired haemolytic anaemia)
169,D60 (acquired pure red cell aplasia [erythroblastopenia])
170,D61 (other aplastic anaemias)
171,D62 (acute posthaemorrhagic anaemia)
172,D63 (anaemia in chronic diseases classified elsewhere)
173,D64 (other anaemias)
174,D65 (disseminated intravascular coagulation [defibrination syndrome])
175,D66 (hereditary factor viii deficiency)
176,D67 (hereditary factor ix deficiency)
177,D68 (other coagulation defects)
178,D69 (purpura and other haemorrhagic conditions)
179,D70 (agranulocytosis)
180,D71 (functional disorders of polymorphonuclear neutrophils)
181,D72 (other disorders of white blood cells)
182,D73 (diseases of spleen)
183,D74 (methaemoglobinaemia)
184,D75 (other diseases of blood and blood-forming organs)
185,D76 (certain diseases involving lymphoreticular tissue and reticulohistiocytic system)
186,D77 (other disorders of blood and blood-forming organs in diseases classified elsewhere)
187,D80 (immunodeficiency with predominantly antibody defects)
188,D81 (combined immunodeficiencies)
189,D82 (immunodeficiency associated with other major defects)
190,D83 (common variable immunodeficiency)
191,D84 (other immunodeficiencies)
192,D86 (sarcoidosis)
193,E01 (iodine-deficiency-related thyroid disorders and allied conditions)
194,E02 (subclinical iodine-deficiency hypothyroidism)
195,E03 (other hypothyroidism)
196,E04 (other non-toxic goitre)
197,E05 (thyrotoxicosis [hyperthyroidism])
198,E06 (thyroiditis)
199,E07 (other disorders of thyroid)
200,E10 (insulin-dependent diabetes mellitus)
201,E11 (non-insulin-dependent diabetes mellitus)
202,E12 (malnutrition-related diabetes mellitus)
203,E13 (other specified diabetes mellitus)
204,E14 (unspecified diabetes mellitus)
205,E15 (nondiabetic hypoglycaemic coma)
206,E16 (other disorders of pancreatic internal secretion)
207,E20 (hypoparathyroidism)
208,E21 (hyperparathyroidism and other disorders of parathyroid gland)
209,E22 (hyperfunction of pituitary gland)
210,E23 (hypofunction and other disorders of pituitary gland)
211,E24 (cushing's syndrome)
212,E25 (adrenogenital disorders)
213,E26 (hyperaldosteronism)
214,E27 (other disorders of adrenal gland)
215,E28 (ovarian dysfunction)
216,E29 (testicular dysfunction)
217,E31 (polyglandular dysfunction)
218,E32 (diseases of thymus)
219,E34 (other endocrine disorders)
220,E35 (disorders of endocrine glands in diseases classified elsewhere)
221,E41 (nutritional marasmus)
222,E43 (unspecified severe protein-energy malnutrition)
